EventCode,LogName,"Windows_OS_Support","more_info",signature,"signature_severity",state
11010,"Microsoft-Windows-WLAN- AutoConfig/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"Wireless Security Started, Stopped, Successful, or Failed",LOW,Success
8000,"Microsoft-Windows-WLAN-AutoConfig/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"Starting a Wireless connection",LOW,NA
8001,"Microsoft-Windows-WLAN-AutoConfig/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"Successfully connected to Wireless connection",LOW,Success
8003,"Microsoft-Windows-WLAN-AutoConfig/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"Disconnect from Wireless connection",LOW,NA
8011,"Microsoft-Windows-WLAN-AutoConfig/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"Starting a Wireless connection",LOW,NA
11000,"Microsoft-Windows-WLAN-AutoConfig/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"Wireless Association Status",LOW,NA
11001,"Microsoft-Windows-WLAN-AutoConfig/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"Wireless Association Status",LOW,NA
11002,"Microsoft-Windows-WLAN-AutoConfig/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"Wireless Association Status",LOW,NA
12011,"Microsoft-Windows-WLAN-AutoConfig/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"Wireless Authentication Started and Failed",LOW,NA
12012,"Microsoft-Windows-WLAN-AutoConfig/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"Wireless Authentication Started and Failed",LOW,NA
12013,"Microsoft-Windows-WLAN-AutoConfig/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"Wireless Authentication Started and Failed",LOW,NA
1005,"Microsoft-Windows-Windows Defender/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"Scan Failed",LOW,NA
1006,"Microsoft-Windows-Windows Defender/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"Detected Malware",MEDIUM,NA
1008,"Microsoft-Windows-Windows Defender/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"Action on Malware Failed",MEDIUM,NA
1010,"Microsoft-Windows-Windows Defender/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"Failed to remove item from quarantine",LOW,NA
2001,"Microsoft-Windows-Windows Defender/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"Failed to update signatures",LOW,NA
2003,"Microsoft-Windows-Windows Defender/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"Failed to update engine",LOW,NA
2004,"Microsoft-Windows-Windows Defender/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"Reverting to last known good set of signatures",LOW,NA
3002,"Microsoft-Windows-Windows Defender/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"Real-Time Protection failed",LOW,Failed
5008,"Microsoft-Windows-Windows Defender/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"Unexpected Error",LOW,Error
2004,"Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"Firewall Rule Add",LOW,NA
2005,"Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"Firewall Rule Change",LOW,NA
2006,"Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"Firewall Rules Deleted",LOW,NA
2009,"Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"Firewall Failed to load Group Policy",LOW,NA
2033,"Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"Firewall Rules Deleted",LOW,NA
20,"Microsoft-Windows-WindowsUpdateClient/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"Windows Update Failed",LOW,NA
24,"Microsoft-Windows-WindowsUpdateClient/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"Windows Update Failed",LOW,NA
